,ChannelName,Channel_Subscribers,Channel_Views,Total_videos,ChannelId,Video_Title,Video_id,Published_date,Views,Likes,Comments,Thumbnails,VideoLink,Channel_URL
0,Telusko,1800000,206320376,1615,UC59K-uG2A5ogwIrHw4bmlEg,Sunday Live | Blockchain | Java Course Update,6Km7e1uIoYU,2022-09-11,7294,277,19,https://i.ytimg.com/vi/6Km7e1uIoYU/hqdefault.jpg,https://www.youtube.com/watch?v=6Km7e1uIoYU,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg
1,Telusko,1800000,206320376,1615,UC59K-uG2A5ogwIrHw4bmlEg,Free Coding Platform | Neuro Lab,gkRy67OCCpQ,2022-09-07,12032,375,60,https://i.ytimg.com/vi/gkRy67OCCpQ/hqdefault.jpg,https://www.youtube.com/watch?v=gkRy67OCCpQ,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg
2,Telusko,1800000,206320376,1615,UC59K-uG2A5ogwIrHw4bmlEg,1000 Programmers for Hackathon,H1PQj54u0As,2022-09-03,31029,546,21,https://i.ytimg.com/vi/H1PQj54u0As/hqdefault.jpg,https://www.youtube.com/watch?v=H1PQj54u0As,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg
3,Telusko,1800000,206320376,1615,UC59K-uG2A5ogwIrHw4bmlEg,Full Stack Java Developer Live Course | Job Guarantee | Announcement,b7OryQDDCsU,2022-09-01,60157,1950,223,https://i.ytimg.com/vi/b7OryQDDCsU/hqdefault.jpg,https://www.youtube.com/watch?v=b7OryQDDCsU,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg
4,Telusko,1800000,206320376,1615,UC59K-uG2A5ogwIrHw4bmlEg,Had an Amazing Week | Saturday Live,4auwnxsEDeI,2022-08-20,7973,243,19,https://i.ytimg.com/vi/4auwnxsEDeI/hqdefault.jpg,https://www.youtube.com/watch?v=4auwnxsEDeI,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg
5,Telusko,1800000,206320376,1615,UC59K-uG2A5ogwIrHw4bmlEg,Blockchain Quiz | Basics,UnffRY0btLQ,2022-08-11,5208,150,11,https://i.ytimg.com/vi/UnffRY0btLQ/hqdefault.jpg,https://www.youtube.com/watch?v=UnffRY0btLQ,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg
6,Telusko,1800000,206320376,1615,UC59K-uG2A5ogwIrHw4bmlEg,JavaScript Programming Tutorial for Beginners,IC5vBKc21X8,2022-08-09,49782,1728,123,https://i.ytimg.com/vi/IC5vBKc21X8/hqdefault.jpg,https://www.youtube.com/watch?v=IC5vBKc21X8,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg
7,Telusko,1800000,206320376,1615,UC59K-uG2A5ogwIrHw4bmlEg,Does Your Code Smell ?,vTWpddJiUXI,2022-07-29,21840,747,28,https://i.ytimg.com/vi/vTWpddJiUXI/hqdefault.jpg,https://www.youtube.com/watch?v=vTWpddJiUXI,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg
8,Telusko,1800000,206320376,1615,UC59K-uG2A5ogwIrHw4bmlEg,Quiz at Blockchain Hackathon | Menti,Z7UXVx30If0,2022-07-27,11011,183,13,https://i.ytimg.com/vi/Z7UXVx30If0/hqdefault.jpg,https://www.youtube.com/watch?v=Z7UXVx30If0,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg
9,Telusko,1800000,206320376,1615,UC59K-uG2A5ogwIrHw4bmlEg,Blockchain Hackathon Highlights @iNeuron Intelligence @Neo Smart Economy,pFW9zyaVF4U,2022-07-26,6886,168,5,https://i.ytimg.com/vi/pFW9zyaVF4U/hqdefault.jpg,https://www.youtube.com/watch?v=pFW9zyaVF4U,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg
10,Telusko,1800000,206320376,1615,UC59K-uG2A5ogwIrHw4bmlEg,Full Stack Blockchain Development Induction,IVJoISiw28c,2022-07-23,31095,582,42,https://i.ytimg.com/vi/IVJoISiw28c/hqdefault.jpg,https://www.youtube.com/watch?v=IVJoISiw28c,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg
11,Telusko,1800000,206320376,1615,UC59K-uG2A5ogwIrHw4bmlEg,Blockchain Workshop Live,9dGj5hAi0mE,2022-07-23,9743,277,23,https://i.ytimg.com/vi/9dGj5hAi0mE/hqdefault.jpg,https://www.youtube.com/watch?v=9dGj5hAi0mE,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg
12,Telusko,1800000,206320376,1615,UC59K-uG2A5ogwIrHw4bmlEg,Sealed Classes in Java | Java 17 features,glvYULuaf-k,2022-07-21,5978,226,42,https://i.ytimg.com/vi/glvYULuaf-k/hqdefault.jpg,https://www.youtube.com/watch?v=glvYULuaf-k,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg
13,Telusko,1800000,206320376,1615,UC59K-uG2A5ogwIrHw4bmlEg,Record Classes in Java | Java 17 features,pmVgs8wOk5o,2022-07-21,7275,240,29,https://i.ytimg.com/vi/pmVgs8wOk5o/hqdefault.jpg,https://www.youtube.com/watch?v=pmVgs8wOk5o,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg
14,Telusko,1800000,206320376,1615,UC59K-uG2A5ogwIrHw4bmlEg,Solidity Ethereum Blockchain Live Course | Writing a Dapp,SuN78CgBjLM,2022-07-20,7711,230,10,https://i.ytimg.com/vi/SuN78CgBjLM/hqdefault.jpg,https://www.youtube.com/watch?v=SuN78CgBjLM,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg
15,Telusko,1800000,206320376,1615,UC59K-uG2A5ogwIrHw4bmlEg,What's new in Java Switch | Switch Statement and Expression,AZb1wLIQ1R4,2022-07-19,10871,453,38,https://i.ytimg.com/vi/AZb1wLIQ1R4/hqdefault.jpg,https://www.youtube.com/watch?v=AZb1wLIQ1R4,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg
16,Telusko,1800000,206320376,1615,UC59K-uG2A5ogwIrHw4bmlEg,Ultimate Blockchain Live Course | Become a Blockchain Developer,Md2eYUuVHkE,2022-07-18,41169,279,81,https://i.ytimg.com/vi/Md2eYUuVHkE/hqdefault.jpg,https://www.youtube.com/watch?v=Md2eYUuVHkE,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg
17,Telusko,1800000,206320376,1615,UC59K-uG2A5ogwIrHw4bmlEg,Var in Java | New Java 10 Feature,2zXbRJty4vc,2022-07-17,17609,695,59,https://i.ytimg.com/vi/2zXbRJty4vc/hqdefault.jpg,https://www.youtube.com/watch?v=2zXbRJty4vc,https://www.youtube.com/channel/UC59K-uG2A5ogwIrHw4bmlEg
